Category,Heads,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Liabilities,1. Notes held in the Banking Department,16,11,28,24,13,12,17,16,21,33,15,9,8,11,11,14,12
Liabilities,2. Notes in Circulation,226375,259073,292510,332654,378468,440977,506545,612324,701655,842008,969261,1103465,1201616,1344516,1473232,1707702,1506319
Liabilities,Total Notes issued,226391,259084,292538,332678,378481,440989,506562,612340,701677,842041,969276,1103473,1201624,1344527,1473243,1707716,1506331
Assets,1. Gold Coin and Bullion -i) held in India,10753,13293,14037,15240,15828,23266,22593,32309,38326,48577,57807,76010,67432,64978,63723,72907,69030
Assets,1. Gold Coin and Bullion -ii) held outside India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assets,2. Foreign Securities,106700,169000,255000,313709,361033,416525,482801,578879,662064,792301,910166,1026197,1132910,1278331,1408275,1633592,1436689
Assets,3. Total (1+2),117453,182293,269037,328950,376861,439791,505394,611188,700390,840878,967972,1102206,1200342,1343309,1471998,1706499,1505719
Assets,4. Rupee Coin,115,223,229,262,102,151,122,106,239,116,258,221,236,172,199,171,612
Assets,5. Government of India Rupee Securities,108822,76568,23272,3467,1517,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,0
Assets,Total Assests,226391,259084,292538,332678,378481,440989,506562,612340,701677,842041,969276,1103473,1201624,1344527,1473243,1707716,1506331
